,BusStopCode,RoadName,Description,Latitude,Longitude,geometry,area
3962,68161,West Camp Rd,Aft Seletar A'Space Lane,1.41076903489058,103.86179481507453,POINT (103.8617948150745 1.41076903489058),SELETAR AEROSPACE PARK
3963,68169,West Camp Rd,Bef Seletar A'Space Lane,1.4107138403801,103.86188409763393,POINT (103.8618840976339 1.4107138403801),SELETAR AEROSPACE PARK
3964,68171,Yishun Ave 1,Bef Yishun Ave 8,1.42704251041342,103.85535247743789,POINT (103.8553524774379 1.42704251041342),LOWER SELETAR
3965,68179,Piccadilly,Aft Yishun Ave 8,1.42698397142724,103.85550329736579,POINT (103.8555032973658 1.42698397142724),LOWER SELETAR
3966,68181,Seletar Aerospace Link,Bef Jtc Aerospace,1.40407,103.858281,POINT (103.858281 1.40407),SELETAR AEROSPACE PARK
3967,68189,Seletar Aerospace Link,Aft Jtc Aerospace,1.403739,103.858254,POINT (103.858254 1.403739),SELETAR AEROSPACE PARK
3968,68191,Seletar Aerospace Crescent,Bef Seletar A'Space Lk,1.402289,103.85963,POINT (103.85963 1.402289),SELETAR AEROSPACE PARK
3969,68199,Seletar Aerospace Crescent,Aft Seletar A'Space Lk,1.402553,103.859906,POINT (103.859906 1.402553),SELETAR AEROSPACE PARK
3970,68201,Seletar Aerospace Dr,Aft Seletar Camp,1.409829,103.872581,POINT (103.872581 1.409829),SELETAR
3971,68209,Seletar Aerospace Dr,Opp Seletar Camp,1.4113435,103.873544,POINT (103.873544 1.4113435),SELETAR AEROSPACE PARK
3972,68239,Seletar Aerospace View,Seletar Airport,1.41360008537368,103.87287372479017,POINT (103.8728737247902 1.41360008537368),SELETAR AEROSPACE PARK
3973,70011,Aljunied Rd,Opp Blk 125,1.32317687661433,103.88116008329277,POINT (103.8811600832928 1.32317687661433),KALLANG WAY
3974,70019,Aljunied Rd,Blk 125,1.32322990499562,103.88145725676175,POINT (103.8814572567617 1.32322990499562),MACPHERSON
3975,70021,Aljunied Rd,Opp Canossa Convent Pr,1.32640814876454,103.88033937941422,POINT (103.8803393794142 1.32640814876454),KALLANG WAY
3976,70029,Aljunied Rd,Aft Canossa Convent Pr,1.32662552821417,103.88054354805391,POINT (103.8805435480539 1.32662552821417),MACPHERSON
3977,70031,Aljunied Rd,Opp Aljunied Pk,1.3292670732562,103.87941087761011,POINT (103.8794108776101 1.3292670732562),KALLANG WAY
3978,70039,Aljunied Rd,Aljunied Pk,1.32930256265165,103.87975573742911,POINT (103.8797557374291 1.32930256265165),MACPHERSON
3979,70041,Upp Aljunied Rd,Opp Blk 4,1.33340805598283,103.87841250002135,POINT (103.8784125000214 1.33340805598283),SENNETT
3980,70049,Upp Aljunied Rd,Aft Blk 4,1.33290666703267,103.87871499999147,POINT (103.8787149999915 1.33290666703267),JOO SENG
3981,70051,Upp Aljunied Rd,Aft Joo Seng Rd,1.33627202154131,103.87777948299751,POINT (103.8777794829975 1.33627202154131),SENNETT
3982,70059,Upp Aljunied Rd,Blk 7,1.33477611102342,103.87831166701761,POINT (103.8783116670176 1.33477611102342),JOO SENG
3983,70061,Upp Aljunied Rd,Bef Bidadari Pk Dr,1.3375,103.87444,POINT (103.87444 1.3375),SENNETT
3984,70069,Upp Aljunied Rd,Aft Bidadari Pk Dr,1.337778056,103.8736111,POINT (103.8736111 1.337778056),BIDADARI
3985,70071,Ubi Ave 3,Cycle & Carriage,1.33377161253401,103.89841293744438,POINT (103.8984129374444 1.33377161253401),KAMPONG UBI
3986,70079,Ubi Ave 3,Aft Regent Motors,1.33372166698373,103.89851833301576,POINT (103.8985183330158 1.33372166698373),KAMPONG UBI
3987,70081,Ubi Ave 3,Opp HDB CP,1.33227580149459,103.89497442435284,POINT (103.8949744243528 1.33227580149459),KAMPONG UBI
3988,70089,Ubi Ave 3,HDB CP,1.33187702164512,103.89443953236938,POINT (103.8944395323694 1.33187702164512),KAMPONG UBI
3989,70091,Ubi Ave 3,Opp Traffic Police,1.33071735944004,103.89091372491255,POINT (103.8909137249126 1.33071735944004),KAMPONG UBI
3990,70099,Ubi Ave 3,Traffic Police,1.33063155191578,103.89132142065273,POINT (103.8913214206527 1.33063155191578),KAMPONG UBI
3991,70101,MacPherson Rd,Bef Jln Wangi,1.3296996501314,103.87395296821519,POINT (103.8739529682152 1.3296996501314),SENNETT
3992,70109,MacPherson Rd,Gulab Bldg,1.32946242383323,103.874037265782,POINT (103.874037265782 1.32946242383323),KALLANG WAY
3993,70111,MacPherson Rd,Opp Cencon Bldg,1.3307766855737,103.87714812684305,POINT (103.8771481268431 1.3307766855737),SENNETT
3994,70119,MacPherson Rd,Cencon Bldg,1.33075033509776,103.8777335022986,POINT (103.8777335022986 1.33075033509776),KALLANG WAY
3995,70121,MacPherson Rd,Aft Jln Muhibbah,1.3319080537309,103.88114282141879,POINT (103.8811428214188 1.3319080537309),JOO SENG
3996,70129,MacPherson Rd,Opp Jln Muhibbah,1.33157543468156,103.88058185579888,POINT (103.8805818557989 1.33157543468156),MACPHERSON
3997,70131,MacPherson Rd,Bef Davidson Rd,1.3327616336301,103.88503448837113,POINT (103.8850344883711 1.3327616336301),JOO SENG
3998,70139,MacPherson Rd,Aft Jln Belangkas,1.33218202150261,103.88328460405727,POINT (103.8832846040573 1.33218202150261),MACPHERSON
3999,70141,MacPherson Rd,Citimac Ind Cplx,1.33325940650465,103.88723373413463,POINT (103.8872337341346 1.33325940650465),JOO SENG
4000,70149,MacPherson Rd,MacPherson Green Condo,1.33291249995394,103.88646305557553,POINT (103.8864630555755 1.33291249995394),MACPHERSON
4001,70151,Merpati Rd,Aft Jln Anggerek,1.32768374279565,103.8809633442231,POINT (103.8809633442231 1.32768374279565),MACPHERSON
4002,70161,Merpati Rd,OPP MATTAR STN EXIT A,1.32758635490072,103.88324806418214,POINT (103.8832480641821 1.32758635490072),MACPHERSON
4003,70171,Circuit Rd,Blk 77,1.32833666697134,103.88547138902759,POINT (103.8854713890276 1.32833666697134),MACPHERSON
4004,70181,Circuit Rd,Blk 36,1.32886177068404,103.88691723349123,POINT (103.8869172334912 1.32886177068404),MACPHERSON
4005,70191,Circuit Rd,OPP BLK 66,1.32722900950909,103.88793655793152,POINT (103.8879365579315 1.32722900950909),MACPHERSON
4006,70201,Circuit Rd,OPP MACPHERSON STN EXIT D,1.32461138902969,103.88885416699938,POINT (103.8888541669994 1.32461138902969),MACPHERSON
4007,70211,Pipit Rd,Blk 90,1.32362166702646,103.88696166698931,POINT (103.8869616669893 1.32362166702646),MACPHERSON
4008,70221,Circuit Rd,Blk 79 FC,1.32620809233247,103.88512100988676,POINT (103.8851210098868 1.32620809233247),MACPHERSON
4009,70231,Mattar Rd,OPP MATTAR STN EXIT B,1.32617666698776,103.88401361102049,POINT (103.8840136110205 1.32617666698776),MACPHERSON
4010,70241,Mattar Rd,Aft Grace Baptist Ch,1.32525399997752,103.88199999996775,POINT (103.8819999999677 1.32525399997752),MACPHERSON
4011,70251,Paya Lebar Rd,Macpherson Stn Exit C,1.32497158481981,103.89037074589527,POINT (103.8903707458953 1.32497158481981),MACPHERSON
4012,70259,Paya Lebar Rd,Macpherson Stn Exit B,1.32498730068675,103.89080428753108,POINT (103.8908042875311 1.32498730068675),KAMPONG UBI
4013,70261,Paya Lebar Rd,Opp Orion @ Paya Lebar,1.32884296980066,103.88962746952593,POINT (103.8896274695259 1.32884296980066),MACPHERSON
4014,70269,Paya Lebar Rd,Citipoint Ind Cplx,1.32824611112671,103.89014388885742,POINT (103.8901438888574 1.32824611112671),KAMPONG UBI
4015,70271,Paya Lebar Rd,Le Crescendo,1.33078171512111,103.88931512831826,POINT (103.8893151283183 1.33078171512111),MACPHERSON
4016,70279,Paya Lebar Rd,Opp Trinity @ Paya Lebar,1.33155751923227,103.88951499040957,POINT (103.8895149904096 1.33155751923227),KAMPONG UBI
4017,70281,Upp Paya Lebar Rd,Aft Tai Seng Stn,1.33530627797371,103.8879999999696,POINT (103.8879999999696 1.33530627797371),JOO SENG
4018,70289,Upp Paya Lebar Rd,Aft Tai Seng Stn Exit C,1.3350640000249,103.8886929999761,POINT (103.8886929999761 1.3350640000249),TAI SENG
4019,70291,Upp Paya Lebar Rd,Asiawide Ind Bldg,1.33743499996855,103.88713611112668,POINT (103.8871361111267 1.33743499996855),JOO SENG
4020,70299,Upp Paya Lebar Rd,Opp Asiawide Ind Bldg,1.3374750000156,103.88758305557131,POINT (103.8875830555713 1.3374750000156),TAI SENG
4021,70301,Upp Paya Lebar Rd,Aft Paya Lebar St,1.33965760027057,103.88575915318087,POINT (103.8857591531809 1.33965760027057),JOO SENG
4022,70309,Upp Paya Lebar Rd,Opp Paya Lebar St,1.33965000001824,103.88639700003634,POINT (103.8863970000363 1.33965000001824),TAI SENG
4023,70311,Kallang Way,Aft Genting Lane,1.32335569812186,103.87901421599854,POINT (103.8790142159985 1.32335569812186),KALLANG WAY
4024,70319,Kallang Way,Aft Kallang Way 4,1.32319846234081,103.87904763225207,POINT (103.8790476322521 1.32319846234081),KALLANG WAY
4025,70321,Kallang Way,Aft Kallang Way 1,1.32247982189668,103.87674093245458,POINT (103.8767409324546 1.32247982189668),KALLANG WAY
4026,70329,Kallang Way,Aft Kallang Way 2,1.32229748021835,103.87682676312598,POINT (103.876826763126 1.32229748021835),KALLANG WAY
4027,70341,Tannery Rd,Tannery Blk,1.32626471325242,103.87490379761162,POINT (103.8749037976116 1.32626471325242),KALLANG WAY
4028,70349,Tannery Rd,Bef Lor Bakar Batu,1.32598493140196,103.87447469442839,POINT (103.8744746944284 1.32598493140196),KALLANG WAY
4029,70359,Lor Bakar Batu,Aft Kallang Sector,1.32768812063773,103.87256886396422,POINT (103.8725688639642 1.32768812063773),KALLANG WAY
4030,70361,Genting Lane,BEF GENTING LK,1.32859972197494,103.87346222198977,POINT (103.8734622219898 1.32859972197494),KALLANG WAY
4031,70371,Circuit Link,Macpherson Stn Exit A,1.32623288866609,103.88932330108935,POINT (103.8893233010893 1.32623288866609),MACPHERSON
4032,70379,Circuit Link,Opp Macpherson Stn Exit A,1.32604294133609,103.88933975894,POINT (103.88933975894 1.32604294133609),MACPHERSON
4033,70401,Ubi Rd 3,BEF UBI RD 4,1.33088230075978,103.89811560002391,POINT (103.8981156000239 1.33088230075978),KAMPONG UBI
4034,70409,Ubi Rd 3,BLK 3032A,1.33094654621155,103.89789906902672,POINT (103.8978990690267 1.33094654621155),KAMPONG UBI
4035,71011,Airport Rd,Aft Paya Lebar Rd,1.33411688207761,103.89054392713261,POINT (103.8905439271326 1.33411688207761),TAI SENG
